Window,Predictor,Coefficient,t_stat
CAR_Tight,P_Safety,-0.000310918950689406,-0.7714058180218908
CAR_Tight,P_Trust,0.0005113317220982498,1.3130130752962634
CAR_Tight,P_ContinueBuying,6.130959416512142e-05,0.15600998486330717
CAR_Tight,P_Recommend,9.041298851262057e-05,0.4806867428172096
CAR_Wide,P_Safety,0.0004059205850757785,0.5224209149748549
CAR_Wide,P_Trust,0.0009951169711665312,1.325513668273303
CAR_Wide,P_ContinueBuying,0.0006867861204777441,0.9065447059616345
CAR_Wide,P_Recommend,-0.0009761592728877664,-2.6921283843589285
CAR_Delayed,P_Safety,-0.0024434106411732265,-1.737069646395813
CAR_Delayed,P_Trust,0.0016505541356229365,1.214454200881161
CAR_Delayed,P_ContinueBuying,0.0012437380142083154,0.9068551334357287
CAR_Delayed,P_Recommend,-0.0005092760577237729,-0.7758354740391461
